Abiskomyia,Arctopelopia...Thienemannimyia,Corynocera.oliveri.type,Chironominae.early.instar,Chironomus.anthracinus.type,Chironomus.plumosus.type,Chironomus.undifferentiated,Cladopelma,Cladotanytarsus.mancus,Corynocera.ambigua,Corynoneura.arctica,Corynoneura.edwardsii,Corynoneura.Type.A,Corynoneura.Thienemanniella.undif.,Cricotopus.laricomalis,Cricotopus.cylindraceus.type,Cricotopus.intersectus,Cricotopus.tremulus.group,Cricotopus.type.P,Cricotopus.undifferentiated,Diamesa..aberra,Dicrotendipes,Diplocladius,Eukiefferiella.claripennis.type,Eukiefferiella.fittkaui,Eukiefferiella.undiff.,Heterotrissocladius.grimshawii,Heterotrissocladius.maeaeri.type.1,Heterotrissocladius.maeaeri.type.2,Heterotrissocladius.marcidus,Heterotrissocladius.subpilosus,Heterotrissocladius.undiff,Hydrobaenus.confirmis,Hydrobaenus.johannseni,Hydrobaenus.unknown,Limnophyes...Paralimnophyes,Mesocricotopus,Metriocnemus,Micropsectra.contracta,Micropsectra.insignilobus.type,Micropsectra.pallidula.type,Micropsectra.radialis.type,Micropsectra.undifferentiated,Oliveridia,Orthocladius.consobrinus,Orthocladius.oliveri,Orthocladius.trigonolabis.type,Orthocladius.type.i,Orthocladius.type.S,Paracladius,Paracladopelma,Parakiefferiella.sp.B,Parakiefferiella.nigra,Parakiefferiella.triquetra,Paratanytarsus.austriacus.type,Paratanytarsus.penicillatus.type,Paratanytarsus.undiff,Procladius,Protanypus,Psectrocladius..Mono..calcaratus,Psectrocladius.barmimanus,Psectrocladius.meso.barbatipes,Psectrocladius.psilopterus.type,Psectrocladius.septentrionalis.type,Psectrocladius.sordidellus,Psectrocladius.allopsectrocladius,Psectrocladius.undiff.,Pseudodiamesa,Pseudodiamesa.early.instar,Pseudorthocladius,Pseudosmittia,Sergentia.coracina.type,Smittia...Parasmittia,Stictochironomus,Tanytarsus.lugens.type,Tanytarsus.lactescens.type,Tanytarsus.nr.glabrescens.type,Tanytarsus.pallidicornis.type,Tribelos.atrum.type,Tvetenia.bavarica.type,Zalut.sp..C,Zalutschia.lingulata.pauca,Zavrelimyia.type,Pentaneurini.undifferentiated
15.58441558,0,0.779220779,0.519480519,0,0,0.519480519,0,0,0,0,0,0,0,0,0,0.519480519,0,0,0,0,0,0,0,0,0,9.61038961,3.376623377,5.714285714,0,9.090909091,3.116883117,0,0,0,0,2.597402597,0,0,16.36363636,0,0,0,0,0,0,0,0,0,0.25974026,0,0,2.597402597,1.298701299,0,0,1.038961039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.116883117,0,0,1.558441558,0,0,5.194805195,0,0,0.519480519
4.672897196,0.934579439,2.803738318,0,0,0,0,0,0,0,0,0,0,0,0,2.803738318,0.934579439,0,0,0,0,0,0,0,0,0,9.345794393,8.878504673,5.140186916,0.46728972,10.74766355,2.803738318,0,0,0,0,4.205607477,0,0,16.35514019,0,0.934579439,0,0,0,0,0,0,0,3.738317757,0,0,1.869158879,0.934579439,0,0,0,0,1.401869159,0,0,0,1.869158879,0,0,0,0.46728972,0,0,0,0,1.869158879,0,0,0,0,0,0,0,0,0.46728972,0,0,0
4.575163399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653594771,9.150326797,0.653594771,0,15.68627451,3.921568627,0,0,0,0,3.921568627,0,0,16.99346405,0,4.575163399,0,0.653594771,0,0,0,1.307189542,0,5.22875817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.614379085,0,0,0,5.22875817,0,0,0,1.307189542,0,2.614379085,0,0,0,0,0,0
5.82010582,0,0,0,0,0,0,0,0,0,0,0,0,1.058201058,0,0,0,0,0,0,0,0,0,0,0,2.116402116,0,1.587301587,1.058201058,0,44.97354497,5.82010582,0,0,0,0,1.058201058,0,0,17.98941799,0,1.058201058,0,0,0,0,0,0,0,0.529100529,0,0,1.058201058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.174603175,0,0,0,0,0,0,0,0,0,2.116402116,0,0,0,0,0,0
24.76190476,0,0,0,0,0,0,0,0,0,1.904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952,0,0,2.857142857,0,0,0,0,0,0,0,0,0,0,1.904761905,0,0,0,0,0,0,0,51.42857143,0,0,0,0,0,0,0,1.904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904761905,0,0,0,0,0,0,0,0,0
1.895734597,0,1.895734597,0,3.317535545,0,0,0,0.947867299,0,3.791469194,0,0,0,0,1.421800948,0,0,0,0,0,0,0,0,0,0,4.265402844,4.739336493,0.947867299,0,5.687203791,3.791469194,0,0,0,0,1.421800948,0,0,6.63507109,0,0.947867299,0,0,0,0,0,0,0,1.421800948,0,0,0,1.421800948,0,0,3.791469194,3.791469194,0.473933649,0.947867299,0,0,1.421800948,0,0,0,0.947867299,0,0,0,0,6.63507109,0,5.687203791,4.739336493,0,0,1.421800948,0,1.421800948,8.056872038,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.020100503,3.015075377,3.51758794,0,24.62311558,8.040201005,0,0,0,0,16.58291457,1.005025126,0,14.57286432,0,0,0,0,0,0,0,0,0,0,0,0,5.527638191,0,0,0,0,0,1.005025126,0,0,0,0.502512563,0,0,0,0,0.502512563,0,0,0,0,0,0,0,0,0,0,0,0,4.020100503,0,0,0
4.385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.754385965,0,0,0,0,0,0,0.877192982,0.877192982,0,0,0,0,0,0,0,0.877192982,0,24.56140351,0,36.84210526,0,0,0,1.754385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.15789474,5.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.55813953,0,0,3.720930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930232558,0,0,2.790697674,0,5.581395349,0,0,0,12.09302326,2.325581395,0,0,0,0,0,0,0,0,0,0,0,0.930232558,0,0,0,0,0,0,0,0,12.09302326,0.930232558,0,0,35.34883721,0,0,0,0,0,0,0,0,2.325581395,0,0,0
2.427184466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.398058252,13.59223301,0.970873786,0,12.13592233,9.708737864,0,0,0,0,3.883495146,0,0,14.5631068,0,0.970873786,0,0,0,0,0,0,0,4.854368932,0,0,2.912621359,0,0,0,1.941747573,2.912621359,0,0,0,0,0.970873786,0,0,0,0.970873786,0,0,0,0,0,0,0,1.941747573,0,0,2.912621359,0,0,5.339805825,0,0,0
